userProfile;evalProfile;alpha;hellinger
Goal Oriented;Explorative;0.8;0.14411134934072334
Goal Oriented;Explorative;0.9;0.18640503747182932
Goal Oriented;Slice and Drill;0.1;0.016125054968014065
Goal Oriented;Slice and Drill;0.2;0.024923217497197288
Goal Oriented;Slice and Drill;0.3;0.03468073976307564
Goal Oriented;Slice and Drill;0.4;0.061086019578022135
Goal Oriented;Slice and Drill;0.5;0.07406201217345001
Goal Oriented;Slice and Drill;0.6;0.09591586962277325
Goal Oriented;Slice and Drill;0.7;0.10319675877645446
Goal Oriented;Slice and Drill;0.8;0.1430317999629653
Goal Oriented;Slice and Drill;0.9;0.18029382873144673
Goal Oriented;Goal Oriented;0.1;0.016101950592495997
Goal Oriented;Goal Oriented;0.2;0.028374288381144346
Goal Oriented;Goal Oriented;0.3;0.040087830081345095
Goal Oriented;Goal Oriented;0.4;0.055507278316657964
Goal Oriented;Goal Oriented;0.5;0.06886801895542967
Goal Oriented;Goal Oriented;0.6;0.09158725130344678
Goal Oriented;Goal Oriented;0.7;0.11573609948459734
Goal Oriented;Goal Oriented;0.8;0.14330793557769655
Goal Oriented;Goal Oriented;0.9;0.17158994606820432
Goal Oriented;Slice All;0.1;0.017619004014132356
Goal Oriented;Slice All;0.2;0.025078220435130198
Goal Oriented;Slice All;0.3;0.04280834856662857
Goal Oriented;Slice All;0.4;0.057120970510662755
Goal Oriented;Slice All;0.5;0.0781356104491492
Goal Oriented;Slice All;0.6;0.08400092393860713
Goal Oriented;Slice All;0.7;0.12804275797882372
Goal Oriented;Slice All;0.8;0.15102117764011463
Goal Oriented;Slice All;0.9;0.16924382067242116
Slice All;Explorative;0.1;0.056130514302300684
Slice All;Explorative;0.2;0.11098748781985981
Slice All;Explorative;0.3;0.1600901363051584
Slice All;Explorative;0.4;0.1639207790726165
Slice All;Explorative;0.5;0.20923642785208998
Slice All;Explorative;0.6;0.2567256212194066
Slice All;Explorative;0.7;0.2763746716560037
Slice All;Explorative;0.8;0.31571704779355864
Slice All;Explorative;0.9;0.36993869444830846
Slice All;Slice and Drill;0.1;0.05149445579651149
Slice All;Slice and Drill;0.2;0.10329179991984652
Slice All;Slice and Drill;0.3;0.122855250107118
Slice All;Slice and Drill;0.4;0.20822218501609957
Slice All;Slice and Drill;0.5;0.17759678867496184
Slice All;Slice and Drill;0.6;0.2012951397290916
Slice All;Slice and Drill;0.7;0.2799479446930301
Slice All;Slice and Drill;0.8;0.3542801287021471
Slice All;Slice and Drill;0.9;0.3479131096647276
Slice All;Goal Oriented;0.1;0.04853650040596386
Slice All;Goal Oriented;0.2;0.11113950096572647
Slice All;Goal Oriented;0.3;0.16773460524751882
Slice All;Goal Oriented;0.4;0.1472684854689774
Slice All;Goal Oriented;0.5;0.21764866486034912
Slice All;Goal Oriented;0.6;0.26329228987822223
Slice All;Goal Oriented;0.7;0.2904881971560285
Slice All;Goal Oriented;0.8;0.31367145050108236
Slice All;Goal Oriented;0.9;0.35962169384187226
Slice All;Slice All;0.1;0.04947590097571105
Slice All;Slice All;0.2;0.0980831659403247
Slice All;Slice All;0.3;0.12314057373482462
Slice All;Slice All;0.4;0.16868004335331518
Slice All;Slice All;0.5;0.1805252781500443
Slice All;Slice All;0.6;0.2166434625233643
Slice All;Slice All;0.7;0.2989431710686777
Slice All;Slice All;0.8;0.2580011323693161
Slice All;Slice All;0.9;0.3498575966676262
Explorative;Explorative;0.1;0.020082443845656585
Explorative;Explorative;0.2;0.03737159740371958
Explorative;Explorative;0.3;0.056712414766266345
Explorative;Explorative;0.4;0.07153676793985161
Explorative;Explorative;0.5;0.10247745958634329
Explorative;Explorative;0.6;0.12575735565503263
Explorative;Explorative;0.7;0.13542603236425002
Explorative;Explorative;0.8;0.1768422336460713
Explorative;Explorative;0.9;0.21071664624521685
