querry_id,total_operators,distinct_operators,ascii_len,part_number
60016,32,6,275,24
27620,38,9,515,26
60256,32,7,342,24
25441,64,6,574,24
24111,16,5,221,25
60495,40,8,453,25
104478,12,5,257,25
107503,62,7,1143,39
39616,16,6,336,26
69065,16,7,373,24
75516,138,9,1028,30
6143,18,6,543,26
64861,128,9,589,25
120719,54,9,361,19
130104,20,7,255,20
73578,16,7,570,29
8565,28,5,336,24
74664,16,6,236,24
29813,28,6,325,24
62203,20,6,1455,30
73332,14,6,437,27
23037,270,11,1202,27
95102,50,7,937,28
28727,16,5,416,25
27638,22,7,421,26
134945,32,8,460,26
178739,68,6,1105,28
51795,30,8,806,30
83127,18,6,295,25
24121,16,5,221,25
85786,12,5,302,25
117797,122,7,869,26
27871,16,6,388,24
107759,60,8,364,25
106669,152,9,1206,28
103158,10,4,289,25
7227,16,6,257,24
83365,20,6,396,26
8317,42,5,415,24
53979,20,6,620,33
6157,18,6,459,26
74436,30,8,480,27
73106,28,6,854,30
131840,66,9,885,21
266037,116,8,908,27
37410,68,8,513,20
129362,28,5,643,35
48309,26,8,470,20
66808,34,8,317,24
33299,36,7,878,26
86668,48,7,242,24
84488,100,7,424,25
84248,32,8,1197,34
270773,20,6,313,24
17802,16,5,341,25
60033,34,8,228,24
52657,82,7,402,20
45033,116,10,404,25
37656,16,7,2610,34
83152,20,6,383,26
265194,168,8,464,25
59050,118,10,326,24
129114,22,5,470,35
70089,38,7,422,26
63553,14,5,637,29
65731,144,9,592,28
24586,48,6,747,24
66824,18,6,332,24
74201,474,6,341,25
74685,32,8,615,27
73354,16,7,497,28
26766,28,7,460,25
74684,12,6,237,24
130523,18,6,488,21
27856,28,6,356,25
129593,156,9,1773,36
172139,32,6,317,24
123800,44,5,565,21
175409,38,7,506,26
86416,32,7,218,24
54841,20,6,620,33
60289,40,8,495,25
84474,34,8,764,27
177820,60,9,423,24
53517,22,4,582,33
23229,18,6,352,24
104043,30,7,5146,45
109975,16,5,338,25
74218,12,5,225,24
107799,20,7,254,24
13660,36,10,299,24
73127,60,8,329,25
74458,12,5,223,24
7267,16,6,224,24
72036,124,7,292,24
130773,18,6,488,21
67925,18,6,332,24
27822,28,6,356,25
24312,32,6,574,24
6171,18,6,459,26
103191,16,6,291,25
73361,20,8,430,25
133809,30,8,591,34
175437,20,5,566,26
79913,16,5,249,24
107307,62,7,1143,39
121859,32,8,285,19
177613,64,6,825,26
61144,36,7,781,29
55702,12,5,1345,48
270753,8,3,231,24
106216,132,7,8298,34
60050,30,6,261,24
136086,40,9,633,26
265172,12,5,257,25
118690,16,6,364,26
46338,158,10,946,27
5097,48,8,652,26
106473,152,9,1206,28
265155,8,4,196,24
132963,10,5,180,24
36771,16,7,1908,30
65753,30,8,515,28
73378,16,7,552,29
95143,50,7,937,28
75312,138,9,1028,30
127156,220,7,4797,30
74220,36,7,209,24
107560,14,5,1071,39
27836,12,5,317,24
74461,30,8,480,27
119531,46,8,738,27
34359,28,7,406,24
117354,16,5,338,25
118440,22,6,538,27
178939,224,6,1501,29
118204,120,10,1339,28
22382,52,8,1437,34
266011,66,7,2011,27
271832,42,7,381,24
117591,122,7,869,26
130154,16,6,271,20
132333,52,8,919,22
131002,74,9,530,19
181500,48,6,2750,32
8132,22,7,255,24
129168,28,5,643,35
7287,14,5,253,24
38143,24,7,2835,35
93317,12,5,264,25
38144,48,8,331,19
43970,48,9,373,24
6193,18,6,459,26
84839,46,8,772,26
119125,32,6,511,26
118278,300,8,1161,28
57464,62,7,275,24
269354,54,7,6180,74
179417,116,8,930,28
17447,10,5,180,24
30665,46,7,477,26
68351,50,7,282,24
271419,12,5,1067,39
38371,12,5,317,20
71536,6,3,224,24
7054,22,6,244,24
134524,16,6,227,24
18544,66,6,404,25
70689,12,6,222,24
69212,36,7,630,25
17692,40,8,464,25
41540,20,7,685,26
60637,40,8,485,25
29673,48,6,569,25
120575,32,7,405,26
27495,14,5,321,25
123845,112,8,285,19
119596,26,8,564,27
178318,64,6,1184,28
133680,30,8,582,34
119351,16,5,392,27
73949,32,8,629,27
176374,32,6,1078,29
107596,16,6,292,25
93334,100,10,341,25
37273,16,7,2484,33
19842,22,7,350,24
38122,36,7,260,19
31729,6,3,269,24
40684,20,7,407,26
56151,42,6,265,24
40447,40,9,635,26
63920,28,8,262,24
135628,36,9,459,26
27220,46,7,1624,34
60899,86,9,388,25
1513,40,8,461,25
30400,396,9,1113,28
83537,20,8,459,25
271881,64,8,554,24
121894,32,8,285,19
29641,30,6,362,25
181726,44,8,2217,31
82681,18,6,369,26
17429,16,5,246,24
82440,12,5,199,24
30407,32,7,417,24
83771,54,7,604,26
31975,8,3,424,25
120326,78,10,1254,28
30644,36,7,347,25
268240,54,7,6180,74
73716,16,7,625,30
94411,100,10,341,25
179671,116,8,930,28
42851,36,8,370,25
68387,34,9,284,24
266288,136,8,2107,28
135875,40,9,633,26
71553,4,2,237,24
73970,32,8,629,27
120796,22,8,376,19
80012,12,5,199,24
100727,18,4,340,24
118243,132,9,1442,28
118004,58,7,2051,30
118488,16,6,368,26
27475,10,5,237,25
30879,12,5,706,27
271631,12,5,1067,39
69471,30,6,371,24
134791,36,9,460,26
49001,94,10,1708,29
130192,42,7,253,19
73504,16,7,497,28
71567,14,6,207,24
73987,32,8,494,27
73744,16,7,699,31
