;qid;NoC;AggDepth;IterDistance;CpQ;IsRelax;FilterDepth;NoAgg;IterCommonMeasures;NoQ;IterCommonFilters;NoF;NoM;IVA;QF;IterRecall;ElapsedTime;ExecTime;RNI;CD;IterPrecision;IterCommonAgg;RQP;ConsTime;IterIdentity;IsRefine;salimLabel
584;dibstudent14--2016-09-27--17-25.log-24;17;0.0142857142857143;0;10;0.0;0;1;1;25;0;0;1;0;0.0502964472601513;1;497.053;0.031;0.0206631927659464;10;1;1;0.714285714285714;1.75;1;0;1
585;dibstudent14--2016-09-27--17-25.log-25;32;0.0285714285714286;1;0;0.0;0;2;1;26;0;0;1;0.000432689707393585;0.0521002408634212;0;499.038;0.235;0.0245608981243803;9;0;1;0.742857142857143;2.562;0;1;1
586;dibstudent14--2016-09-27--17-25.log-26;85;0.0285714285714286;0;0;0.0;0;2;1;27;0;0;1;0.000716129119431421;0.0537992213060857;1;501.866;0.266;0.027378681180675;8;0.376470588235294;2;0.771428571428571;1.75;1;0;1
587;dibstudent14--2016-09-27--17-25.log-27;191;0.0285714285714286;0;0;0.0;0;2;1;28;0;0;1;0.00143020980908048;0.055561729081009;1;503.944;0.328;0.0441459847581027;7;0.445026178010471;2;0.8;6;1;0;1
588;dibstudent14--2016-09-27--17-25.log-28;191;0.0285714285714286;0;0;0.0;0;2;1;29;0;0;1;0;0.0568532695531137;1;510.085;0.141;0.0441459847581027;6;1;2;0.828571428571429;7.218;1;0;1
589;dibstudent14--2016-09-27--17-25.log-29;191;0.0285714285714286;0;0;0.0;0;2;1;30;0;0;1;0;0.0579598145285935;1;517.6;0.297;0.0441459847581027;5;1;2;0.857142857142857;1.922;1;0;1
590;dibstudent14--2016-09-27--17-25.log-30;191;0.0285714285714286;0;0;0.0;0;2;1;31;0;0;1;0;0.0596361425803982;1;519.819;0.297;0.0441459847581027;4;1;2;0.885714285714286;3.078;1;0;1
591;dibstudent14--2016-09-27--17-25.log-31;191;0.0285714285714286;0;0;0.0;0;2;1;32;0;0;1;0;0.0611901483861098;1;522.96;0.063;0.0441459847581027;3;1;2;0.914285714285714;7.781;1;0;1
592;dibstudent14--2016-09-27--17-25.log-32;191;0.0285714285714286;0;0;0.0;0;2;1;33;0;0;1;0;0.062171714507487;1;530.788;0.047;0.0441459847581027;2;1;2;0.942857142857143;2.797;1;0;1
593;dibstudent14--2016-09-27--17-25.log-33;191;0.0285714285714286;0;0;0.0;0;2;1;34;0;0;1;0;0.0637162303978891;1;533.616;0.031;0.0441459847581027;1;1;2;0.971428571428571;4.281;1;0;1
594;dibstudent14--2016-09-27--17-25.log-34;191;0.0285714285714286;0;0;0.0;0;2;1;35;0;0;1;0;0.0650511673896639;1;538.038;0.141;0.0441459847581027;0;1;2;1;0;1;0;1
