qid;Metric - Aggregation Depth;Metric - Click Depth;Metric - Click Per Query.;Metric - Consideration time;Metric - Elapsed time;Metric - Execution time;Metric - Filter Depth;Metric - Increase in View Area;Metric - Is Refine;Metric - Is Relax;Metric - Iterative Common Aggregations;Metric - Iterative Common Filters;Metric - Iterative Common Measures;Metric - Iterative Distance;Metric - Iterative Identity;Metric - Iterative Precision;Metric - Iterative Recall;Metric - Number of aggregations;Metric - Number of Filters;Metric - Number of measures;Metric - Query frequency;Metric - Relative Query Position (RQP)...;Metric - Relevant New Information;Metric Number of queries...;Nb of cells;label
dibstudent16--2016-10-06--22-03.log-152;0.0571428571428571;12;0;4.375;6806.957;0.109;0.128571428571429;0;0;0.0;3;6;1;0;1;1;1;3;6;1;0.0224770040416004;0.927272727272727;0.506344291907431;153;18;1
dibstudent16--2016-10-06--22-03.log-153;0.0571428571428571;11;0;1.766;6811.473;0.141;0.128571428571429;0;0;0.0;3;6;1;0;1;1;1;3;6;1;0.0226089129326359;0.933333333333333;0.506344291907431;154;18;1
dibstudent16--2016-10-06--22-03.log-154;0.0571428571428571;10;0;18.344;6813.332;0.093;0.128571428571429;0;0;0.0;3;6;1;0;1;1;1;3;6;1;0.0227495152151693;0.939393939393939;0.506344291907431;155;18;1
dibstudent16--2016-10-06--22-03.log-155;0.0571428571428571;9;0;7.812;6831.895;0.219;0.128571428571429;0;0;0.0;3;6;1;0;1;1;1;3;6;1;0.0228340745869191;0.945454545454545;0.506344291907431;156;18;1
dibstudent16--2016-10-06--22-03.log-156;0.0571428571428571;8;0;3.75;6839.739;0.032;0.128571428571429;0;0;0.0;3;6;1;0;1;1;1;3;6;1;0.022954092254105;0.951515151515152;0.506344291907431;157;18;1
dibstudent16--2016-10-06--22-03.log-157;0.0571428571428571;7;0;3.266;6843.598;0.109;0.128571428571429;0;0;0.0;3;6;1;0;1;1;1;3;6;1;0.0230872707602054;0.957575757575758;0.506344291907431;158;18;1
dibstudent16--2016-10-06--22-03.log-158;0.0571428571428571;6;0;2.203;6846.973;0.109;0.128571428571429;0;0;0.0;3;6;1;0;1;1;1;3;6;1;0.0232219405567979;0.963636363636364;0.506344291907431;159;18;1
dibstudent16--2016-10-06--22-03.log-159;0.0571428571428571;5;0;56.125;6849.254;0.078;0.128571428571429;0;0;0.0;3;6;1;0;1;1;1;3;6;1;0.023360208279617;0.96969696969697;0.506344291907431;160;18;1
dibstudent16--2016-10-06--22-03.log-16;0.0285714285714286;2;2;9.594;1266.559;0.047;0;0;0;0.0;2;0;3;0;1;1;1;2;0;3;0.013422193518028;0.103030303030303;0.341865390254818;17;18;1
dibstudent16--2016-10-06--22-03.log-160;0.0571428571428571;4;0;4.391;6905.457;0.078;0.128571428571429;0;0;0.0;3;6;1;0;1;1;1;3;6;1;0.0233148942930207;0.975757575757576;0.506344291907431;161;18;1
dibstudent16--2016-10-06--22-03.log-161;0.0571428571428571;3;0;9.703;6909.942;0.094;0.128571428571429;0;0;0.0;3;6;1;0;1;1;1;3;6;1;0.0234444804312395;0.981818181818182;0.506344291907431;162;18;1
dibstudent16--2016-10-06--22-03.log-162;0.0571428571428571;2;0;12.484;6919.739;0.094;0.128571428571429;0;0;0.0;3;6;1;0;1;1;1;3;6;1;0.0235558017433895;0.987878787878788;0.506344291907431;163;18;1
